DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.01.02	11:35:00	88580	88695	88540	88630	11166	41739	5
2019.01.02	11:40:00	88630	88715	88615	88695	7356	33581	5
2019.01.02	11:45:00	88695	88815	88655	88750	12481	49212	5
2019.01.02	11:50:00	88750	88790	88685	88775	7314	31582	5
2019.01.02	11:55:00	88775	88865	88730	88730	11018	43119	5
2019.01.02	12:00:00	88730	88855	88715	88800	10794	44873	5
2019.01.02	12:05:00	88800	88960	88780	88930	13598	54899	5
2019.01.02	12:10:00	88935	89095	88870	89060	15277	60906	5
2019.01.02	12:15:00	89055	89090	88955	89055	9306	38491	5
2019.01.02	12:20:00	89055	89280	89030	89245	18164	71700	5
2019.01.02	12:25:00	89240	89325	89225	89290	10135	41799	5
2019.01.02	12:30:00	89290	89465	89175	89410	21294	88368	5
2019.01.02	12:35:00	89410	89915	89350	89895	27944	116253	5
2019.01.02	12:40:00	89895	90050	89855	89945	22670	94611	5
2019.01.02	12:45:00	89950	90375	89940	90345	28205	119399	5
2019.01.02	12:50:00	90345	90375	90205	90300	16181	64166	5
2019.01.02	12:55:00	90305	90450	90255	90305	16348	64659	5
2019.01.02	13:00:00	90310	90470	90230	90460	13723	59560	5
